school_name,address,postal_code,mrt_desc,bus_desc,latitude,longitude
MAYFLOWER PRIMARY SCHOOL,6    Ang Mo Kio Avenue 2,569948,Yio Chu Kang MRT Station.,"13,86,138,162,269,851,852,853.",1.37637683547682,103.843252803742
MAYFLOWER SECONDARY SCHOOL,2    ANG MO KIO STREET 21,569384,"ANG MO KIO MRT, MAYFLOWER MRT (Targeted to open in 2020)","71, 76, 132, 165, 166, 169, 262, 265, 268, 269",1.36827266209722,103.835360726863
MEE TOH SCHOOL,21   EDGEDALE PLAINS,828867,Punggol Station,"3,62,83",1.3946184538592,103.908589494228
MERIDIAN PRIMARY SCHOOL,20   PASIR RIS ST 71,518798,Pasir Ris MRT Station,"3,359",1.37552831658484,103.934889078518
MERIDIAN SECONDARY SCHOOL,31   PASIR RIS STREET 51,518901,PASIR RIS MRT,"39, 53, 81, 89, 109, 359, 403, 518",1.3672468492013,103.948972483629
METHODIST GIRLS' SCHOOL (PRIMARY),11   Blackmore Drive,599986,King Albert Park MRT,"66, 67, 74, 77, 151, 154, 157, 170, 171, 174, 852, 961, 970",1.34947276268396,103.884971343143
METHODIST GIRLS' SCHOOL (SECONDARY),11   BLACKMORE DRIVE,599986,KING ALBERT PARK MRT,"66, 67, 74, 77, 151, 154, 157, 170, 174, 852, 961, 970",1.35096755912522,103.885120050588
MILLENNIA INSTITUTE,60   Bukit Batok West Avenue 8,658965,Bukit Batok (NS 2),"157, 174, 174e, 178, 506, 991, 941, 160M",1.35031939200985,103.741593577684
MONTFORT JUNIOR SCHOOL,52   HOUGANG AVENUE 8,538786,Hougang MRT & Bus Interchange,"74,88,101,147,161,",1.37362445234082,103.889741457901
MONTFORT SECONDARY SCHOOL,50   HOUGANG AVENUE 8,538785,HOUGANG MRT,"74, 74e, 88, 88A, 101, 147, 147A, 161",1.37396131656912,103.888928372577
NAN CHIAU HIGH SCHOOL,20   ANCHORVALE LINK,545079,"SENGKANG MRT, RENJONG LRT, TONGKANG LRT","43, 83, 85, 109, 156, 159, 161, 163, 372",1.38879582498399,103.890004423764
NAN CHIAU PRIMARY SCHOOL,50   ANCHORVALE LINK,545080,Sengkang Station,"156, 159, 161, 371, 372",1.39221149906592,103.891180928186
NAN HUA HIGH SCHOOL,41   CLEMENTI AVENUE 1,129956,CLEMENTI MRT,"14, 33, 52, 78, 96, 97, 105, 106, 147, 151, 154, 165, 166, 183, 185, 188, 189, 196, 197, 198, 282, 285, 963",1.30809529518605,103.768561446725
NAN HUA PRIMARY SCHOOL,30   Jalan Lempeng,128806,Clementi MRT Station,"30, 51, 143, 175, 201, 533, 655, 727, 762",1.31920159956387,103.761095065761
NANYANG GIRLS' HIGH SCHOOL,2    LINDEN DRIVE,288683,"SIXTH AVENUE MRT, TAN KAH KEE MRT","66, 67, 74, 151, 154, 156, 157, 170, 174, 852, 961",1.33058326666479,103.802420979943
NANYANG JUNIOR COLLEGE,128  SERANGOON AVENUE 3,556111,2-minute walk from the Lorong Chuan MRT Station (Circle Line),"22, 24, 53, 73, 133, 105, 135, 136, 156, 853",1.35028314949236,103.866498721912
NANYANG PRIMARY SCHOOL,52   KING'S ROAD,268097,Farrer Rd MRT Station,"66, 67, 74, 93, 151, 153, 154, 156, 157, 165, 170, 171, 174, 186, 852, 855, 961",1.32084749904532,103.807750155296
NATIONAL JUNIOR COLLEGE,37   HILLCREST ROAD,288913,"BOTANIC GARDENS MRT, TAN KAH KEE MRT, SIXTH AVENUE MRT","66, 67, 74, 151, 154, 156, 157, 170, 174, 852, 961, 972",1.33029291072172,103.804110905425
NAVAL BASE PRIMARY SCHOOL,7    YISHUN AVE 4,769028,Yishun MRT Station,Feeder bus No. 811 from Yishun Interchange.,1.41630663159387,103.838794077233
NAVAL BASE SECONDARY SCHOOL,901  YISHUN RING ROAD,768689,KHATIB MRT,"39, 85, 117, 670, 807, 811, 812, 851, 852, 853, 854, 855, 857, 858, 965, 969",1.41937881620441,103.831050390247
NEW TOWN PRIMARY SCHOOL,300  Tanglin Halt Road,148812,Commonwealth MRT Station,"SBS Numbers 32, 100, 105, 111, 145, 147, 195, 196, 198, 855",1.29964188181021,103.80010216304
NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD,139657,"DOVER MRT, CLEMENTI MRT","33, 96, 96A, 151, 196, 183",1.30977590011357,103.77318863421
NGEE ANN PRIMARY SCHOOL,344  MARINE TERRACE,449149,Nil,"13, 16, 16M, 31,36, 43, 47, 48, 55, 135, 196, 196E, 197, 853M (at Marine Parade road) 13, 16, 16M, 196 and 196E(at Marine Terrace)",1.30552505910497,103.917463017497
NGEE ANN SECONDARY SCHOOL,1    TAMPINES STREET 32,529283,"TAMPINES MRT, SIMEI MRT, TAMPINES EAST MRT","3, 4, 8, 9, 12, 17, 18, 19, 21, 28, 29, 34, 37, 38, 39, 59, 81, 291, 293, 518, 552",1.35447525755806,103.956747262496
