licence_numbers,business_name,name_of_license,premise_address,trimmed_address,latitude,longitude
J94081B000,PRIME SUPERMARKET,PRIME SUPERMARKET LIMITED,"763 JURONG WEST STREET 75 #01-01, S(640763)",763 JURONG WEST STREET 75 ,1.34874387926183,103.698298710842
J96145K000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"21 CHOA CHU KANG AVENUE 4 #B1-03, LOT 1 SHOPPERS' MALL S(689812)",21 CHOA CHU KANG AVENUE 4 ,1.38493874036122,103.745022476677
NE04047K000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"138 TAMPINES STREET 11 #01-136, S(521138)",138 TAMPINES STREET 11 ,1.3455045062724,103.945588355383
NE04092A000,U Stars Supermarket,U STARS PTE. LTD.,"625 ELIAS ROAD #01-302, ELIAS MALL S(510625)",625 ELIAS ROAD ,1.37860239032585,103.941978177673
NE04107V000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"168 PUNGGOL FIELD #03-01, PUNGGOL PLAZA S(820168)",168 PUNGGOL FIELD ,1.39417447299355,103.913120037036
NE04109P000,AZ SUPERMART,AZ SUPERMART PTE. LTD.,"21 KAKI BUKIT AVENUE 3, GOLDEN BUKIT DORMITORY 2 S(415920) GOLDEN BUKIT DORMITORY 2","21 KAKI BUKIT AVENUE 3, GOLDEN BUKIT DORMITORY 2 S(415920) GOLDEN BUKIT DORMITORY 2",1.35861159094192,103.751790910733
NE04114A000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"866A TAMPINES STREET 83 #01-01, TAMPINES CENTRAL COMMUNITY COMPLEX S(521866)",866A TAMPINES STREET 83 ,1.35539306251992,103.934429348334
NE04155C000,YES Supermarket,YES SUPERMARKET PTE LTD,"829 TAMPINES ST 81, S(520829)","829 TAMPINES ST 81, S(520829)",1.34497742351864,103.693882164907
NE06429X000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"266 COMPASSVALE BOW #01-02, THE CORIS S(540266) MULTI STOREY CAR PARK",266 COMPASSVALE BOW ,1.38187771301641,103.897039857818
NE07474A000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"21 TAMPINES NORTH DRIVE 2, GIANT S(528765) GIANT HYPERMARKETS","21 TAMPINES NORTH DRIVE 2, GIANT S(528765) GIANT HYPERMARKETS",1.37210169874539,103.931999887543
NE08058P000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 PASIR RIS CLOSE #02-127, E!HUB@DOWNTOWN EAST S(519599) PASIR RIS NTUC RESORT",1 PASIR RIS CLOSE ,1.3766980678365,103.95514122442
NE08150C000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"277C COMPASSVALE LINK #01-13, ASPELLA S(543277) UNIT 01",277C COMPASSVALE LINK ,1.38233698966981,103.893607838756
NE08357A000,SUZYAMEER FROZEN,SUZYAMEER FROZEN PTE. LTD.,"201D TAMPINES STREET 21 #01-1161, S(524201)",201D TAMPINES STREET 21 ,1.35226231425316,103.953586491358
NE09027A000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"10 TAMPINES CENTRAL 1 #B1-01/02, S(529536)",10 TAMPINES CENTRAL 1 ,1.35432321225804,103.945141172369
NE09263B000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"100 HOUGANG AVENUE 10 #02-01, S(538767)",100 HOUGANG AVENUE 10 ,1.37177996112812,103.894165380603
NE09314N000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"776 PASIR RIS STREET 71 #01-412, S(510776)",776 PASIR RIS STREET 71 ,1.37461117497015,103.937175821555
NE09359K000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"301 PUNGGOL CENTRAL #01-01, CORALINUS S(820301) MULTI STOREY CAR PARK",301 PUNGGOL CENTRAL ,1.40371939757402,103.906138006707
NE10113B000,ang mo supermarket,ANG MO SUPERMARKET PTE LTD,"639 PUNGGOL DRIVE #01-01, S(820639)",639 PUNGGOL DRIVE ,1.39946117845803,103.916054498662
NE10213X000,begonia supermarket,SHAHUL HAMEED S/O ABDUSALAM,"280 TAMPINES STREET 22 #01-244, S(520280)",280 TAMPINES STREET 22 ,1.34753519689194,103.951702776881
NE10310X000,FAIRPRICE FINEST,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 MAJU AVENUE #B1-11-14,#B1-18-20, MYVILLAGE AT SERANGOON GARDEN S(556679)",1 MAJU AVENUE ,1.3652806057289,103.865101220515
NE11529V000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"159A HOUGANG STREET 11 #01-01, MULTI STOREY CAR PARK S(531159)",159A HOUGANG STREET 11 ,1.35209060355776,103.879314590828
NE11808L000,BENG POH MINI MART,BENG POH MINI MART,"21B TAMPINES AVENUE, S(529804)","21B TAMPINES AVENUE, S(529804)",1.32189578824125,103.834785022272
NE11909C000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"683 HOUGANG AVENUE 8 #01-903, S(530683)",683 HOUGANG AVENUE 8 ,1.37331270061833,103.886367847223
